nfl_id,home_team,away_team,home_won,home_win_probability,home_score,predicted_home_score,away_score,predicted_away_score,home_total_yards,predicted_home_total_yards,away_yards,predicted_away_total_yards
2009111504,PIT,CIN,0.0,0.0,27.3449923992157,12.0,26.266926169395447,18.0,357.57978051900864,225.99999999999997,343.79824924468994,218.0
2009111505,STL,NO,0.0,0.0,26.088639199733734,23.0,25.681067526340485,28.0,360.9978657960892,434.00000000000006,345.1665181517601,420.0
2009111506,TEN,BUF,1.0,1.0,23.176533699035645,41.0,23.570284247398376,17.0,365.7170732021332,378.00000000000006,357.00132942199707,296.0
2009111507,WAS,DEN,1.0,1.0,22.503625988960266,27.0,23.14584082365036,17.0,365.29667764902115,388.0,359.44923573732376,305.0
2009111508,OAK,KC,0.0,0.0,26.410776734352112,10.0,25.977454900741577,16.0,359.07061529159546,272.0,343.55507212877274,318.0
2009111509,ARI,SEA,1.0,1.0,22.557169914245605,31.0,22.98803424835205,20.0,369.70717084407806,462.0,360.2530041337013,472.0
2009111510,GB,DAL,1.0,1.0,22.06418812274933,17.0,22.619202375411987,7.0,370.7209262251854,283.0,362.36283868551254,278.0
2009111511,SD,PHI,1.0,1.0,22.090012192726135,31.0,22.672005355358124,23.0,369.89964294433594,331.0,362.0763917565346,462.0
2009111512,IND,NE,1.0,1.0,21.83795589208603,35.0,22.468260169029236,34.0,370.75890707969666,407.0,363.2385445833206,476.99999999999994
2009111600,CLE,BAL,0.0,0.0,26.21008402109146,0.0,25.827721118927002,16.0,359.4990975856781,160.0,344.38179767131805,274.0
2009111900,CAR,MIA,0.0,0.0,26.078001737594604,17.0,25.622043192386627,24.0,362.150398850441,383.0,345.46936851739883,326.0
2009112200,BAL,IND,0.0,0.0,25.252080500125885,15.0,24.99623078107834,17.0,364.1328384876251,354.0,348.93877202272415,375.0
2009112201,DAL,WAS,1.0,1.0,20.582280814647675,7.0,21.555463552474976,6.0,372.60452365875244,305.0,368.537812769413,324.0
2009112202,DET,CLE,1.0,1.0,21.705359935760498,38.0,22.446338534355164,37.0,369.24327552318573,473.0,363.4024639725685,439.0
2009112203,GB,SF,1.0,1.0,20.479063987731934,30.0,21.442494332790375,24.0,373.6384384036064,484.00000000000006,369.17969304323196,284.0
2009112204,JAC,BUF,1.0,1.0,21.324711740016937,18.0,22.153009176254272,15.0,370.1913788318634,310.0,365.08929681777954,343.0
2009112205,KC,PIT,1.0,1.0,22.603481769561768,27.0,23.266230583190918,24.0,364.051971077919,282.0,358.78631460666656,515.0
2009112206,MIN,SEA,1.0,1.0,20.502447187900543,35.0,21.380692839622498,9.0,375.4526661634445,431.0,369.50136137008667,212.0
2009112207,NYG,ATL,1.0,1.0,20.765213012695312,34.0,21.702547669410706,31.0,372.01641446352005,456.0,367.6857538819313,352.0
2009112208,TB,NO,0.0,0.0,26.419257879257202,7.0,25.92757874727249,38.0,360.2929779291153,219.0,343.80430471897125,370.0
2009112209,STL,ARI,0.0,0.0,26.125414848327637,13.0,25.653580486774445,21.0,362.1333438754082,314.0,345.2930698990822,444.0
2009112210,DEN,SD,0.0,0.0,26.75451809167862,3.0,26.241386651992798,32.0,358.17110908031464,271.0,342.10386621952057,348.0
2009112211,NE,NYJ,1.0,1.0,20.82625323534012,31.0,21.660019993782043,14.0,373.9573472738266,410.0,367.88937878608704,225.99999999999997
2009112212,OAK,CIN,1.0,1.0,21.890093684196472,20.0,22.639886021614075,17.0,367.6011688709259,275.0,362.3178825378418,348.0
2009112213,CHI,PHI,0.0,0.0,26.135782539844513,20.0,25.760448455810547,24.0,359.91941648721695,284.0,344.7480772137642,377.0
2009112300,HOU,TEN,0.0,0.0,25.566899120807648,17.0,25.136539220809937,20.0,365.557676255703,339.99999999999994,348.11392444372177,344.0
2009112601,DAL,OAK,1.0,1.0,20.785403311252594,24.0,21.697632670402527,7.0,372.445241689682,494.0,367.7043802142143,305.0
2009112602,DEN,NYG,1.0,1.0,20.692108869552612,26.0,21.699772357940674,6.0,370.942257642746,373.0,367.72783559560776,267.0
2009112600,DET,GB,0.0,0.0,27.63605087995529,12.0,26.995238482952118,34.0,354.17572247982025,272.0,338.0096757411957,422.00000000000006
2009112900,ATL,TB,1.0,1.0,21.16940701007843,20.0,21.98423993587494,17.0,371.7155953645706,297.0,366.03973799943924,318.0
2009112901,BUF,MIA,1.0,1.0,21.019166946411133,31.0,21.90643882751465,14.0,371.2035628557205,336.0,366.5079258084297,325.0
2009112902,CIN,CLE,1.0,1.0,21.45279550552368,16.0,22.170440793037415,7.0,371.75415110588074,306.0,364.9499059319496,169.0
2009112903,HOU,IND,0.0,0.0,25.653549075126648,27.0,25.329214572906494,35.0,362.5318937301636,395.99999999999994,347.10335010290146,342.0
2009112905,NYJ,CAR,1.0,1.0,20.62863516807556,17.0,21.56228357553482,6.0,373.1682959794998,283.0,368.484080016613,179.0
2009112906,PHI,WAS,1.0,1.0,21.0459703207016,27.0,21.87001609802246,24.0,372.4656310081482,381.0,366.69119971990585,303.0
2009112907,STL,SEA,0.0,0.0,26.615493834018707,17.0,26.159838318824768,27.0,357.979365170002,364.0,342.5632390975952,265.0
2009112909,SD,KC,1.0,1.0,20.967559456825256,43.0,21.771766006946564,14.0,373.5405160188675,426.0,367.24220955371857,284.0
2009112910,SF,JAC,1.0,1.0,20.809229969978333,20.0,21.73427528142929,3.0,371.9601522088051,284.0,367.50052535533905,357.0
2009112904,MIN,CHI,1.0,1.0,20.4713773727417,36.0,21.43973934650421,10.0,373.5828660130501,537.0,369.19732290506363,169.0
