posistion,name,team,stat_total,last_game
d,A.Abdullah,DET,0.2,2017111202
d,A.Adams,TB,0.6498171835170654,2019110308
d,A.Adeoye,BAL,0.21666583337499792,2019082966
d,A.Afalava,TEN,0.7811013855289455,2013082908
d,A.Al-Shaair,SF,0.46664633430015146,2019102709
d,A.Albright,DAL,0.7533422970479099,2012123007
d,A.Alexander,WAS,0.5199946001829945,2019082966
d,A.Allen,NYJ,0.7035424913551493,2016092512
d,A.Amos,GB,0.8935099494087954,2019110310
d,A.Anderson,CHI,0.46665970437953214,2019102009
d,A.Ankrah,WAS,0.46667111096296787,2019082966
d,A.Anzalone,NO,0.7567935544816196,2019091512
d,A.Applewhite,MIA,0.5604563329926144,2013082903
d,A.Armstead,SF,0.5750053999080014,2019103100
d,A.Aruna,MIN,0.2,2018081152
d,A.Auguste,SEA,0.9200012667940868,2014082814
d,A.Averett,BAL,0.3999997871987733,2019102010
d,A.Awasom,MIN,0.5208250350639276,2011091111
d,A.Ayers,NYG,0.7607464752927467,2017111906
d,A.Ayodele,BUF,1.110825713223061,2011010201
d,A.Bailey,ATL,0.5199036799721625,2019102700
d,A.Ball,ARI,0.5928791288182376,2016081256
d,A.Barnes,DET,0.4040214510228902,2017081351
d,A.Barr,MIN,0.9173735379963818,2019110303
d,A.Barrett,OAK,0.538871918467009,2019081052
d,A.Baxter,PIT,0.6874978125546861,2013082905
d,A.Bazzie,ARI,0.8333058355623617,2017083156
d,A.Benn,TB,0.2,2012111803
d,A.Berry,CLE,0.7035764022869058,2014080900
d,A.Bethea,NYG,1.2325088887888374,2019102703
d,A.Bigby,SD,0.7182149786027628,2012112508
d,A.Bighill,NO,1.1000374986042232,2017083163
d,A.Billings,CIN,0.47666734938713307,2019102002
d,A.Black,TB,0.5780016619093463,2013092907
d,A.Blackson,HOU,0.35266292148388206,2019102704
d,A.Blake,NYG,0.7852261662325384,2017082151
d,A.Bledsoe,TEN,0.2999950002499875,2019082953
d,A.Blount,MIA,0.2,2016081252
d,A.Boone,SD,0.38332883692657493,2010011701
d,A.Bouye,JAX,0.7521589547230784,2019110300
d,A.Bowen,DEN,0.41999758969148704,2011090164
d,A.Bradford,ATL,0.9666572718877726,2015100402
d,A.Branch,ARI,0.5048206703149525,2019081551
d,A.Bratton,GB,0.6666611114629429,2011090153
d,A.Brooks,GB,0.6044453414184787,2017123102
d,A.Brown,CIN,0.6081445139997327,2019102706
d,A.Bryan,CHI,0.2,2011090160
d,A.Bryant,DET,0.46326302316212153,2017083153
d,A.Burns,PIT,0.7303876762979625,2019101311
d,A.Burton,CAR,0.35998346784170615,2009092800
d,A.Butler,NE,0.3914515990250143,2019102711
d,A.Buzbee,WAS,0.222221481506172,2009082850
d,A.Calitro,JAX,1.0357197132432476,2019102705
d,A.Carriker,WAS,0.5010007025993575,2012090906
d,A.Carrington,BUF,0.36284854135491457,2015112300
d,A.Carroll,NYJ,0.21666583337499792,2009090351
d,A.Carter,CAR,0.6202282394100103,2018083062
d,A.Cason,BAL,0.7438143407494737,2015010301
d,A.Chachere,DET,0.8285732585209935,2019082955
